DATE,IPN31152N
2/1/1983,74.3646
3/1/1983,86.6512
4/1/1983,83.5305
5/1/1983,94.3514
6/1/1983,110.2263
7/1/1983,107.5508
8/1/1983,105.2968
9/1/1983,95.8909
10/1/1983,79.0648
11/1/1983,70.3554
12/1/1983,65.5867
1/1/1984,67.0011
2/1/1984,85.6144
3/1/1984,96.7755
4/1/1984,101.8245
5/1/1984,108.3343
6/1/1984,128.8405
7/1/1984,125.1273
8/1/1984,116.6079
9/1/1984,106.8885
10/1/1984,88.2627
11/1/1984,80.3855
12/1/1984,73.974
1/1/1985,76.1736
2/1/1985,86.6116
3/1/1985,101.2354
4/1/1985,104.8666
5/1/1985,114.318
6/1/1985,130.5975
7/1/1985,124.5167
8/1/1985,117.4459
9/1/1985,104.0654
10/1/1985,86.2262
11/1/1985,74.6592
12/1/1985,70.6329
1/1/1986,73.682
2/1/1986,88.9355
3/1/1986,100.0295
4/1/1986,104.3014
5/1/1986,113.2964
6/1/1986,127.3228
7/1/1986,121.323
8/1/1986,119.079
9/1/1986,96.8704
10/1/1986,86.412
11/1/1986,76.9717
12/1/1986,70.6204
1/1/1987,73.948
2/1/1987,94.5373
3/1/1987,103.6022
4/1/1987,106.819
5/1/1987,116.8105
6/1/1987,132.008
7/1/1987,127.4044
8/1/1987,123.6748
9/1/1987,106.7224
10/1/1987,89.4039
11/1/1987,84.6298
12/1/1987,79.7024
1/1/1988,79.9002
2/1/1988,98.0175
3/1/1988,115.092
4/1/1988,119.3721
5/1/1988,130.0414
6/1/1988,150.9298
7/1/1988,145.4406
8/1/1988,140.7433
9/1/1988,117.3826
10/1/1988,100.0984
11/1/1988,87.7763
12/1/1988,83.0951
1/1/1989,87.6177
2/1/1989,104.3502
3/1/1989,115.434
4/1/1989,121.1818
5/1/1989,126.1014
6/1/1989,140.4695
7/1/1989,135.0524
8/1/1989,128.2777
9/1/1989,110.4963
10/1/1989,97.427
11/1/1989,90.7381
12/1/1989,86.0141
1/1/1990,82.5291
2/1/1990,103.7776
3/1/1990,117.2887
4/1/1990,121.9508
5/1/1990,126.5316
6/1/1990,141.2775
7/1/1990,143.6218
8/1/1990,129.0701
9/1/1990,114.4056
10/1/1990,98.353
11/1/1990,87.9189
12/1/1990,85.7338
1/1/1991,85.2665
2/1/1991,104.8588
3/1/1991,118.1119
4/1/1991,123.0359
5/1/1991,127.9323
6/1/1991,157.4896
7/1/1991,140.6807
8/1/1991,135.6808
9/1/1991,120.9914
10/1/1991,103.7686
11/1/1991,91.882
12/1/1991,89.0019
1/1/1992,90.2244
2/1/1992,110.4098
3/1/1992,131.4666
4/1/1992,135.2148
5/1/1992,142.7928
6/1/1992,158.2887
7/1/1992,147.0626
8/1/1992,143.9345
9/1/1992,127.0568
10/1/1992,109.5147
11/1/1992,99.3276
12/1/1992,92.9703
1/1/1993,95.3665
2/1/1993,123.4377
3/1/1993,133.6159
4/1/1993,140.7597
5/1/1993,150.5615
6/1/1993,165.0825
7/1/1993,159.3991
8/1/1993,152.2206
9/1/1993,128.2921
10/1/1993,109.5646
11/1/1993,96.3109
12/1/1993,90.508
1/1/1994,99.4781
2/1/1994,119.706
3/1/1994,134.2504
4/1/1994,141.2588
5/1/1994,144.7913
6/1/1994,159.228
7/1/1994,155.8514
8/1/1994,143.5421
9/1/1994,121.3149
10/1/1994,109.9283
11/1/1994,102.0735
12/1/1994,94.1296
1/1/1995,104.9496
2/1/1995,122.5914
3/1/1995,138.8764
4/1/1995,150.0524
5/1/1995,148.7095
6/1/1995,174.4632
7/1/1995,173.0159
8/1/1995,164.7302
9/1/1995,137.9415
10/1/1995,127.0089
11/1/1995,108.0761
12/1/1995,95.7693
1/1/1996,108.7666
2/1/1996,129.4163
3/1/1996,145.4127
4/1/1996,151.9554
5/1/1996,156.9814
6/1/1996,184.1093
7/1/1996,169.3725
8/1/1996,152.8792
9/1/1996,136.2178
10/1/1996,113.1833
11/1/1996,97.419
12/1/1996,94.4327
1/1/1997,103.5788
2/1/1997,127.1437
3/1/1997,138.0852
4/1/1997,137.5455
5/1/1997,141.6972
6/1/1997,158.4195
7/1/1997,146.3529
8/1/1997,137.5518
9/1/1997,116.5002
10/1/1997,105.4953
11/1/1997,94.5096
12/1/1997,83.5459
1/1/1998,96.5701
2/1/1998,118.2285
3/1/1998,129.3521
4/1/1998,134.3474
5/1/1998,140.5265
6/1/1998,149.2407
7/1/1998,139.2554
8/1/1998,129.8794
9/1/1998,114.7175
10/1/1998,96.584
11/1/1998,82.2537
12/1/1998,78.6816
1/1/1999,86.3952
2/1/1999,100.6297
3/1/1999,106.4133
4/1/1999,112.6711
5/1/1999,116.2802
6/1/1999,128.8553
7/1/1999,122.1347
8/1/1999,119.6529
9/1/1999,103.5391
10/1/1999,92.1367
11/1/1999,84.3381
12/1/1999,79.5262
1/1/2000,93.351
2/1/2000,111.2944
3/1/2000,125.0698
4/1/2000,136.5341
5/1/2000,135.6032
6/1/2000,150.1199
7/1/2000,145.4325
8/1/2000,131.8293
9/1/2000,117.1805
10/1/2000,113.7341
11/1/2000,92.6327
12/1/2000,88.5149
1/1/2001,101.375
2/1/2001,115.9745
3/1/2001,122.6815
4/1/2001,134.3882
5/1/2001,131.9872
6/1/2001,148.4196
7/1/2001,141.4769
8/1/2001,134.7753
9/1/2001,128.6196
10/1/2001,115.1136
11/1/2001,105.0913
12/1/2001,104.6018
1/1/2002,120.9601
2/1/2002,143.6813
3/1/2002,155.2061
4/1/2002,169.2145
5/1/2002,165.2011
6/1/2002,188.8447
7/1/2002,173.2341
8/1/2002,163.2352
9/1/2002,150.6134
10/1/2002,136.756
11/1/2002,114.5562
12/1/2002,105.6179
1/1/2003,125.2497
2/1/2003,142.3906
3/1/2003,144.6613
4/1/2003,151.4035
5/1/2003,147.3393
6/1/2003,162.8491
7/1/2003,146.1043
8/1/2003,141.1325
9/1/2003,126.7308
10/1/2003,115.8376
11/1/2003,106.6816
12/1/2003,93.5263
1/1/2004,104.1156
2/1/2004,126.0228
3/1/2004,140.4459
4/1/2004,148.6412
5/1/2004,150.4552
6/1/2004,169.0362
7/1/2004,157.2643
8/1/2004,153.5255
9/1/2004,144.4268
10/1/2004,139.5258
11/1/2004,120.5195
12/1/2004,111.2821
1/1/2005,130.2719
2/1/2005,148.1976
3/1/2005,159.275
4/1/2005,171.8314
5/1/2005,169.9522
6/1/2005,196.1737
7/1/2005,190.2501
8/1/2005,179.2849
9/1/2005,153.7389
10/1/2005,144.2127
11/1/2005,122.2164
12/1/2005,106.9509
1/1/2006,130.8295
2/1/2006,144.3001
3/1/2006,156.3691
4/1/2006,167.7272
5/1/2006,159.9362
6/1/2006,182.6261
7/1/2006,176.0375
8/1/2006,164.2845
9/1/2006,146.4184
10/1/2006,127.9182
11/1/2006,111.0826
12/1/2006,102.3068
1/1/2007,126.2649
2/1/2007,139.0987
3/1/2007,153.0866
4/1/2007,169.9811
5/1/2007,167.3083
6/1/2007,180.0874
7/1/2007,167.2158
8/1/2007,149.2237
9/1/2007,141.9697
10/1/2007,126.3227
11/1/2007,104.0224
12/1/2007,99.4948
1/1/2008,107.9956
2/1/2008,124.8185
3/1/2008,139.8023
4/1/2008,141.8197
5/1/2008,143.6774
6/1/2008,169.4044
7/1/2008,145.0205
8/1/2008,139.7905
9/1/2008,124.0207
10/1/2008,108.9576
11/1/2008,102.446
12/1/2008,83.7946
1/1/2009,94.1914
2/1/2009,115.2161
3/1/2009,129.6325
4/1/2009,133.0755
5/1/2009,137.9925
6/1/2009,150.3558
7/1/2009,134.4829
8/1/2009,132.5304
9/1/2009,119.4439
10/1/2009,106.7741
11/1/2009,87.8541
12/1/2009,77.7939
1/1/2010,91.2895
2/1/2010,110.4994
3/1/2010,127.0971
4/1/2010,132.6468
5/1/2010,134.5576
6/1/2010,143.9519
7/1/2010,128.8566
8/1/2010,125.5563
9/1/2010,116.0686
10/1/2010,97.752
11/1/2010,81.0871
12/1/2010,72.7801
1/1/2011,92.611
2/1/2011,106.1656
3/1/2011,114.2484
4/1/2011,116.6234
5/1/2011,116.1365
6/1/2011,120.7737
7/1/2011,116.2615
8/1/2011,115.0031
9/1/2011,101.7561
10/1/2011,91.1014
11/1/2011,76.5099
12/1/2011,71.4595
1/1/2012,85.3987
2/1/2012,99.5615
3/1/2012,112.4868
4/1/2012,114.8111
5/1/2012,114.566
6/1/2012,124.3428
7/1/2012,112.327
8/1/2012,107.643
9/1/2012,96.37
10/1/2012,88.8864
11/1/2012,74.8375
12/1/2012,68.7691
1/1/2013,78.1175
2/1/2013,98.0341
3/1/2013,107.8837
4/1/2013,107.9098
5/1/2013,110.913
6/1/2013,128.6909
7/1/2013,112.3692
8/1/2013,106.0546
9/1/2013,98.1912
10/1/2013,90.9982
11/1/2013,80.0694
12/1/2013,67.8031
1/1/2014,86.3975
2/1/2014,101.7308
3/1/2014,113.7756
4/1/2014,119.3533
5/1/2014,116.6308
6/1/2014,131.0397
7/1/2014,117.2721
8/1/2014,111.418
9/1/2014,100.6174
10/1/2014,91.2615
11/1/2014,86.5723
12/1/2014,75.3749
1/1/2015,85.5769
2/1/2015,100.558
3/1/2015,109.5789
4/1/2015,108.3617
5/1/2015,106.0577
6/1/2015,116.1377
7/1/2015,108.3776
8/1/2015,112.2052
9/1/2015,100.3483
10/1/2015,93.9317
11/1/2015,85.864
12/1/2015,76.9749
1/1/2016,92.8105
2/1/2016,101.9743
3/1/2016,116.1793
4/1/2016,124.2106
5/1/2016,121.5435
6/1/2016,132.9865
7/1/2016,124.8514
8/1/2016,121.3321
9/1/2016,108.0359
10/1/2016,101.3836
11/1/2016,86.6647
12/1/2016,81.2569
1/1/2017,94.2454
2/1/2017,112.3879
3/1/2017,119.6982
4/1/2017,123.2282
5/1/2017,116.0635
6/1/2017,123.087
7/1/2017,116.2639
8/1/2017,113.1717
9/1/2017,97.9125
10/1/2017,90.4732
11/1/2017,77.4378
12/1/2017,75.8118
1/1/2018,83.4343
2/1/2018,99.4899
3/1/2018,107.3152
4/1/2018,112.4309
5/1/2018,110.3544
6/1/2018,124.5841
7/1/2018,117.2215
8/1/2018,112.6779
9/1/2018,103.3118
10/1/2018,92.1321
11/1/2018,82.4347
12/1/2018,76.7608
1/1/2019,86.9988
2/1/2019,98.1116
3/1/2019,116.1718
4/1/2019,114.9703
5/1/2019,114.5613
6/1/2019,124.9605
7/1/2019,110.2632
8/1/2019,102.6085
9/1/2019,100.1741
10/1/2019,90.1684
11/1/2019,79.7223
12/1/2019,75.7094
1/1/2020,83.629
